Unnamed: 0,JWO COSTING WORKSHEET,Unnamed: 1,Color,Season,Size
,STYLE #: 48-c379,Style#: 48-c379,,,
,PROTO #:,,,,
NAME:,,,,,
SEASON:,R11,Date: 06/14/10,,,
DATE:,06/14/10,,,,
SIZE RANGE:,XS-L,Punch:,,,
NOTES:,,,,,
,,DESCRIPTION,,,
,,WHOLESALE,$28.00,PRICE 5,$  11.95
,,LINE:,,,
,,NEW PATTERN:,,,
FABRIC AND CUTTING INSTRUCTIONS,Actual Fab. $,EXISTING PATTERN:,,,
SELF,"48% RAYON, 48% POLYESTER, 4% SPANDEX 2.40",CUT ALONE:,,,
CONTRAST 1,"95% RAYON, 5% SPANDEX 2.50",CUT WITH:,,,
